sync_id,category,vault_path,local_path,last_vault_updated,last_local_updated,last_sync_at,last_sync_direction,last_sync_hash,status
1d03d3fd-ef67-4c09-8286-8824d0c5c522,decisions,kitchen_obsidian/vault/decisions/crm.md,kitchen_obsidian/local-zone/decisions/crm.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,0d3f5606d6b103039454f27ea46b5eb9000a774399ac264c1d213f8fa9bebb8e,active
6011e8c2-2cf0-463e-b52b-788b7c2759ab,decisions,kitchen_obsidian/vault/decisions/soglasovanie-proekta.md,kitchen_obsidian/local-zone/decisions/soglasovanie-proekta.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,376a70039dfb9d001fa353c273a79e8c1f43304c2b3b56419c296660e8603563,active
e00229f7-14df-4ab9-be64-e49bf0416564,decisions,kitchen_obsidian/vault/decisions/soveshchaniia-s-ma.md,kitchen_obsidian/local-zone/decisions/soveshchaniia-s-ma.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,9cc423dc40ccc3535b627b1914c0d8f8216b9f1091a3712f98adfc827605e133,active
9c04fcf7-cd25-47ca-b175-51fd97c55d80,files,kitchen_obsidian/vault/files/anytype-export-2026-03-05-210043-07.zip,kitchen_obsidian/local-zone/files/anytype-export-2026-03-05-210043-07.zip,2026-03-05T18:23:27+00:00,2026-03-05T18:23:27+00:00,2026-03-05T18:23:30+00:00,pull,ed7ab2a2dfc6a22a30c0e65a9cb177838d05411525891eff2831e1e94f7a73c2,active
86992aa6-7411-479d-b26c-7c89452f03b1,files,kitchen_obsidian/vault/files/image-27-02-2026-at-18-21.png,kitchen_obsidian/local-zone/files/image-27-02-2026-at-18-21.png,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,8ddd17be73c2951bb47653d8f20b4b4578d2ed6fb9af067295911a606769bb6c,active
7d1b21f8-7bf5-4089-9134-4cbb64353dec,files,kitchen_obsidian/vault/files/image.png,kitchen_obsidian/local-zone/files/image.png,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,f820d6bb4b7da32bcd785746e8f0187dcee0727d1064c41365469fd3c82994e3,active
3306d9b2-9fb6-4dfb-ab4a-7ae1562fe868,files,kitchen_obsidian/vault/files/plan_152h_2026-02-22_2026-03-31.md,kitchen_obsidian/local-zone/files/plan_152h_2026-02-22_2026-03-31.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,d8102c87d4b191118b63a468e08ff8e7a7e81a3ec0e25722f1430cc641a4a1ba,active
0e43cd81-abe0-4cf0-92be-8d320c73e90e,files,kitchen_obsidian/vault/files/plan_client_presentation.pdf,kitchen_obsidian/local-zone/files/plan_client_presentation.pdf,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,c083ae77a9c83a0c270368baa72c715e45bdb7c5b7802456febd5b7310eeee7d,active
7aee89cd-42a7-4492-86cb-cb5d6e6cecf5,files,kitchen_obsidian/vault/files/smeta_client_presentation.pdf,kitchen_obsidian/local-zone/files/smeta_client_presentation.pdf,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,220e234b78c18a163d3ac9d5e01599f2efbc5afc8246588c965edee87ff7dfaa,active
aadeb112-8489-430b-86ec-77b12a90a309,files,kitchen_obsidian/vault/files/unisender_com_cover.png,kitchen_obsidian/local-zone/files/unisender_com_cover.png,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,e93df529ffde2747355a932752e013598c76ba733f30a20246a3acc0188f390f,active
68a96280-8872-48e6-83f6-d5983aacd926,files,kitchen_obsidian/vault/files/unisender_com_icon.ico,kitchen_obsidian/local-zone/files/unisender_com_icon.ico,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,4c3303491a84b9d18976c32728af59e1c2c8837ec8d060b2ffeae2acf0d54e60,active
6fd24304-e824-430b-9715-7c68504c2e6e,files,kitchen_obsidian/vault/files/utochniaiushchie-voprosy.pages,kitchen_obsidian/local-zone/files/utochniaiushchie-voprosy.pages,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,9f39557d2e8c5ebf2742654d8a2791efe2b66ef535c60aa1ba02b57842acf9f1,active
028e25e2-8a20-47d7-9f26-c107983fd433,files,kitchen_obsidian/vault/files/utochniaiushchie-voprosy.pdf,kitchen_obsidian/local-zone/files/utochniaiushchie-voprosy.pdf,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,6f3c20587ae9a49bd8acfb8a81dcd411efbb91d735abfeefbd628a2099fb9e3e,active
6147fa44-1421-4202-8da6-f169b2c8d8e0,files,kitchen_obsidian/vault/files/zov-home_ru_cover.svg,kitchen_obsidian/local-zone/files/zov-home_ru_cover.svg,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,fb55952d95349e3a28106b25f0deaa5b25c8a0fface4291d496a3bdd5ab66884,active
d03c6470-b3d4-4446-beef-1e55a81d2bd1,files,kitchen_obsidian/vault/files/zov-home_ru_icon.ico,kitchen_obsidian/local-zone/files/zov-home_ru_icon.ico,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,6c31e68fe8584f3021ef4a413f33d65f6b54f6ef0f1596c6b33ea7ae4161f5d6,active
573354f1-cc99-4446-a3cf-27b5112d63ab,inbox,kitchen_obsidian/vault/inbox/185-117-121-48-27-02-2026-18-22-15.md,kitchen_obsidian/local-zone/inbox/185-117-121-48-27-02-2026-18-22-15.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,3b9144d972c90dec12f87439da1d46f0474bfc51c30dcfd8e2c85686436d0da8,active
c781431b-5f9e-4e7c-a234-7ee61be01205,inbox,kitchen_obsidian/vault/inbox/cucine-classiche-e-moderne-dal-design-innovati.md,kitchen_obsidian/local-zone/inbox/cucine-classiche-e-moderne-dal-design-innovati.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,19905a102e27326b63a8ffb983da90d46839c737256973e0b3d6af949898b1ca,active
1cc3e55a-4355-4939-8c1b-5b1598a66d85,inbox,kitchen_obsidian/vault/inbox/idei.md,kitchen_obsidian/local-zone/inbox/idei.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,90568f27aece56ee91f821cd06c5226fa27551d52720b8b3c9138c9b356c9c1a,active
7f8757ab-30e9-4be7-89f4-61ce4d785125,inbox,kitchen_obsidian/vault/inbox/instagram.md,kitchen_obsidian/local-zone/inbox/instagram.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,152d068879fbb6315bf6ca0aab8b6daee41e780262eb0146168949265c2c8960,active
021a5877-b5a0-4953-b48b-857fcf03a409,inbox,kitchen_obsidian/vault/inbox/kukhni-zov-v-moskve-belorusskaia-mebel-naia-fa.md,kitchen_obsidian/local-zone/inbox/kukhni-zov-v-moskve-belorusskaia-mebel-naia-fa.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,2e046696462e0e90f2f7e282ef36283421ccca03f425cf2ffe3c24594e6ce4f3,active
902c2bba-8388-436c-a3ea-e77b0937716e,inbox,kitchen_obsidian/vault/inbox/luchshie-primery-lendingov-iz-raznykh-nish.md,kitchen_obsidian/local-zone/inbox/luchshie-primery-lendingov-iz-raznykh-nish.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,e2881642afa9a2955a86280643f34b3fb209869e5771ea6332b0dd17f756373b,active
9314f1b3-8e67-4b96-839d-cc4aa367d6b6,inbox,kitchen_obsidian/vault/inbox/o.md,kitchen_obsidian/local-zone/inbox/o.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,d6712da7cfc3608dfa6e33c652adbd3b0b8030094d09c783262c7062d419fb3e,active
f86c920f-3cc8-42b0-a181-f12e43376d27,inbox,kitchen_obsidian/vault/inbox/pravki-dlia-saita.md,kitchen_obsidian/local-zone/inbox/pravki-dlia-saita.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,5f207ba068ed9f2c069d264d51813f327c6c33634088b45954c464dcfd240f5c,active
3adca048-ff8e-4d4f-831f-65b7cdc5fff1,inbox,kitchen_obsidian/vault/inbox/primery-saitov.md,kitchen_obsidian/local-zone/inbox/primery-saitov.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,48f37d4070827ebf5fd6eb9c39deb204e0c8a0018d78ee80ba4971c463cfde6c,active
5fc394e4-054a-474a-a7e2-3aebc9d03456,inbox,kitchen_obsidian/vault/inbox/starye-saity-vasiliia.md,kitchen_obsidian/local-zone/inbox/starye-saity-vasiliia.md,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,2026-03-05T18:16:14+00:00,import,d35de28523f65355f58ac3dba8f2d1311cdf0a90c3013a2efc278d90b44a4791,active
